,loss,test_accuracy,density,epoch
0,1.8295069885680744,0.43690288,0.32306208248757284,1
1,1.4459354263132491,0.5550358,0.2630653503176708,2
2,1.2912729007508748,0.5881768,0.22886436619806821,3
3,1.2146332337880683,0.60001993,0.2055226328655728,4
4,1.1671996227158306,0.62291,0.18971010576457797,5
5,1.1231701633966793,0.6374403,0.1764094088369667,6
6,1.0943539561822897,0.64560115,0.163511534811817,7
7,1.0606962613132604,0.6611266,0.1539883237916884,8
8,1.0423141688946873,0.67068076,0.14638873352730838,9
9,1.0244207357811501,0.674164,0.1399435670879235,10
10,1.0068260925200285,0.6677946,0.13476342795377277,11
11,0.9850805103778839,0.67953825,0.12837859068542737,12
12,0.9791417703451708,0.6687898,0.1235214639878839,13
13,0.9640570388120764,0.6901871,0.1189358185600181,14
14,0.9613511945737903,0.6928742,0.11561017300646653,15
15,0.9485599149371047,0.69765127,0.11147259735934191,16
16,0.9357976351705048,0.68680334,0.1076498645735796,17
17,0.9329000782326359,0.6981489,0.1039063138248066,18
18,0.930487475660451,0.69844747,0.10079747622967818,19
19,0.919022907838797,0.70033836,0.09757426458112074,20
20,0.9148747279973286,0.6958599,0.09428004047081891,21
21,0.9079016752712562,0.70650876,0.0921867439215218,22
22,0.9067200589972688,0.7127787,0.08992817058073112,23
23,0.8968099443351522,0.7094944,0.08813714831549643,24
24,0.8972245169722516,0.71496814,0.08595398643850509,25
25,0.8949147976572861,0.71675956,0.08396186693647213,26
26,0.8884794656425485,0.7169586,0.08184971752122519,27
27,0.881299080141365,0.7178543,0.07951196214344518,28
28,0.8827716672359525,0.7125796,0.07790318424905893,29
29,0.8806330660724884,0.7079021,0.07676761329001364,30
30,0.8709634160599136,0.71765524,0.07534799248399078,31
31,0.8776147173112615,0.72064096,0.07351863605799142,32
32,0.8741993805788972,0.7197452,0.0720236037881692,33
33,0.8725437742212544,0.72193474,0.07068882087892062,34
34,0.868353552373169,0.72064096,0.06959158408063999,35
35,0.8632466200062686,0.7241242,0.06791744958429431,36
36,0.8571062094872565,0.7193471,0.0665160532153563,37
37,0.8567395198451894,0.7212381,0.06568589868469839,38
38,0.8620160377543905,0.7152667,0.0648771107354503,39
39,0.8508809938302735,0.71795386,0.06364413330233085,40
40,0.8542963410811046,0.7258161,0.06266315584407423,41
41,0.8522748803086293,0.7249204,0.061547694608708764,42
42,0.8483115032582027,0.7255175,0.06081683183872002,43
43,0.844848155899121,0.7243233,0.060143784524310774,44
44,0.84007881848556,0.72541803,0.05927906640607816,45
45,0.8403339312052178,0.72890127,0.05839046799097576,46
46,0.8419740953866173,0.72372615,0.05753391944798809,47
47,0.8367774910329248,0.729797,0.05658373500411621,48
48,0.8386866910683225,0.7291998,0.055807625355847844,49
49,0.8374914714442495,0.73009557,0.05510315659818887,50
50,0.8342863371228928,0.7334793,0.0545727626361334,51
51,0.8401484218094964,0.72074044,0.054052423535917854,52
52,0.8354914194863775,0.73218554,0.05345353082757797,53
53,0.8342725819410266,0.7316879,0.05286469298107801,54
54,0.834436492160763,0.7290008,0.052424164346716776,55
55,0.83330114669812,0.72482085,0.05201819929993024,56
56,0.8261307819420115,0.7258161,0.05154687765118427,57
57,0.8278088938168553,0.72850317,0.051110748018878,58
58,0.8282960433789226,0.73427546,0.05048169072501838,59
59,0.8292493842294454,0.727707,0.05006881296071691,60
60,0.8190784080101706,0.72910035,0.0494617506771321,61
61,0.8213049911172189,0.731887,0.048947067436701505,62
62,0.8198981822070563,0.72740847,0.048549900394024896,63
63,0.8236567380711856,0.73596734,0.04807355131435897,64
64,0.821034049896328,0.73009557,0.047408673575194654,65
65,0.8202946271814043,0.7329817,0.046745681122625324,66
66,0.8179214291484155,0.73795784,0.04625487817906452,67
67,0.8254229292997619,0.7316879,0.04588410514871769,68
68,0.8209136069354499,0.73527074,0.04553281341318569,69
69,0.8215831119538574,0.7298965,0.045064633908764695,70
70,0.8212055850135701,0.73935115,0.044710828457772724,71
71,0.8165081492470353,0.7417397,0.04441483846236025,72
72,0.811878697113003,0.73815686,0.044015786133088666,73
73,0.8217194490420544,0.73984873,0.04369780112740138,74
74,0.812495264060357,0.73328024,0.04336410540008924,75
75,0.814958992897702,0.73755974,0.042967566786277625,76
76,0.815081349228654,0.7345741,0.04262444462599056,77
77,0.8136211919891255,0.7337779,0.042275038177053546,78
78,0.8179841937540132,0.738754,0.041984704041426034,79
79,0.815036237277948,0.73467356,0.041621472157459136,80
80,0.8130497957586937,0.729996,0.04128212057036204,81
81,0.8147549086138416,0.73895305,0.041077252760373786,82
82,0.8077355075217879,0.74064493,0.04082965178756591,83
83,0.8114789425945648,0.73527074,0.04051355206847361,84
84,0.8083322435769889,0.7417397,0.040306170543025384,85
85,0.8056023258839726,0.7349721,0.040078050865032334,86
86,0.8151812436406874,0.73736066,0.03974749728204516,87
87,0.8077499646588665,0.734375,0.03941694369905799,88
88,0.8042005845500381,0.7324841,0.03905936767487604,89
89,0.8053674379273144,0.73636544,0.038828734281423014,90
90,0.8057459056224969,0.7397492,0.038546569721040425,91
91,0.8056060133306572,0.7298965,0.03834735777083713,92
92,0.8087830872791807,0.7405454,0.038128036096954004,93
93,0.804399541767357,0.73527074,0.037963387734325414,94
94,0.8037498671837779,0.7413416,0.03772395633676246,95
95,0.8100314487124343,0.7338774,0.03745121820935479,96
96,0.8049870040410619,0.7399483,0.03724069453958159,97
97,0.8024363161429114,0.7386545,0.03698932299358374,98
98,0.8043334784029085,0.736465,0.03683850006598503,99
99,0.8040643653753773,0.7417397,0.0366895624249813,100
